Topic,Category2,Date,Sentiment,Sentiment_YoY_Growth,Frequency,Frequency_YoY_Growth,Trending_Score,Perspective,Category1,Country,Novelty_Score
Strong,ginger ale,last year,0.5574,55.739998,0,-0.6666667,0.0,Ingredient,Beverage,Canada,8.834928
Vodka,ginger ale,last year,0.0,0.0,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
#SparklingWater,soda,last year,0.0,-0.97656983,6,6.0,0.0,Hashtag,Beverage,Canada,
#craft,soda,last year,0.0,-0.98968965,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
#happiness,soda,last year,0.937,93.7,0,-0.6666667,0.0,Hashtag,Beverage,Canada,8.834928
#isolationnation,soda,last year,0.296,29.6,0,-0.8,0.0,Hashtag,Beverage,Canada,8.589969
Bubly,soda,last 6 month,0.0,-0.96732026,2,2.0,0.0,Brand,Beverage,Canada,8.834928
Water,soda,last 6 month,0.0152875185,-0.95399344,4,0.0,0.0,Ingredient,Beverage,Canada,8.589969
#craftcocktails,tonic,last 3 month,0.0,-1.0423371,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
#developerlife,tonic,last year,0.6369,63.690002,0,-0.6666667,0.0,Hashtag,Beverage,Canada,8.834928
#tiqaportland,tonic,last 3 month,0.0,-1.0423371,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
@CAEAirport,tonic,last year,0.0,-0.9807914,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
@Radio702,tonic,last year,0.5267,52.670002,0,-0.6666667,0.0,Hashtag,Beverage,Canada,8.834928
Cranberry,tonic,last 6 month,0.8832,88.32,0,-0.75,0.0,Ingredient,Beverage,Canada,8.589969
Tonic,tonic,last month,-0.19472,-19.472,0,-0.9285714,0.0,Ingredient,Beverage,Canada,8.589969
#minigolf,ginger ale,last year,0.0,-0.9838788,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
#svsfinejewelry,ginger ale,last year,0.8443,84.43,0,-0.6666667,0.0,Hashtag,Beverage,Canada,8.834928
@ETEAKI_T,ginger ale,last year,0.636,63.6,0,-0.75,0.0,Hashtag,Beverage,Canada,8.589969
@raemack2488,ginger ale,last year,0.0,-0.97682506,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
Baby,ginger ale,last year,0.0,0.0,0,-0.6666667,0.0,Motivation,Beverage,Canada,8.834928
Blood,ginger ale,last year,0.7184,71.84,0,-0.6666667,0.0,Ingredient,Beverage,Canada,8.834928
Large,ginger ale,last year,0.0,0.0,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
Sole,ginger ale,last year,0.0,-0.97306037,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
Sprite,ginger ale,last 6 month,0.0,-0.98198414,4,4.0,0.0,Ingredient,Beverage,Canada,7.6868787
Tuna,ginger ale,last 6 month,-0.4019,-40.19,0,-0.75,0.0,Ingredient,Beverage,Canada,8.589969
#WorldWaterDay2019,soda,last 6 month,0.0,-0.986969,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
#mojito,soda,last year,0.0,-0.98968965,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
#summer,soda,last year,0.0,-0.98968965,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
@RootdHealth,soda,last 6 month,0.68,68.0,0,-0.75,0.0,Hashtag,Beverage,Canada,8.589969
Coca Cola,soda,last year,0.025799999,2.58,0,-0.6666667,0.0,Brand,Beverage,Canada,8.834928
Fructose,soda,last year,0.6093,0.451031,6,1.3333334,0.0,Ingredient,Beverage,Canada,
Ice Cream,soda,last 3 month,0.8388,83.880005,0,-0.75,0.0,Ingredient,Beverage,Canada,8.589969
Red,soda,last 6 month,0.0,-1.030303,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
Sauce,soda,last year,0.0,0.0,0,-0.6666667,0.0,Ingredient,Beverage,Canada,8.834928
@MapsMaponyane,tonic,last year,0.5267,52.670002,0,-0.6666667,0.0,Hashtag,Beverage,Canada,8.834928
@bbcthree,tonic,last month,-0.2942,-29.42,0,-0.75,0.0,Hashtag,Beverage,Canada,8.589969
Ice,tonic,last year,0.468675,46.8675,0,-0.8,0.0,Ingredient,Beverage,Canada,8.834928
#ElectionNight,ginger ale,last year,0.0,-1.0182682,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
#golf,ginger ale,last year,0.0,-0.97732425,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
@ETEAKI_T,ginger ale,last 6 month,0.636,63.6,0,-0.75,0.0,Hashtag,Beverage,Canada,8.589969
Jack,ginger ale,last year,0.53,52.999996,0,-0.8333333,0.0,Ingredient,Beverage,Canada,8.589969
Juice,ginger ale,last year,0.0,-1.0127162,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
Original,ginger ale,last year,0.3182,31.82,0,-0.6666667,0.0,Motivation,Beverage,Canada,8.834928
#Relax,soda,last year,0.4404,44.04,0,-0.75,0.0,Hashtag,Beverage,Canada,7.6868787
#hammock,soda,last year,0.4404,44.04,0,-0.75,0.0,Hashtag,Beverage,Canada,7.6868787
@homejobsbymom,soda,last month,0.68,68.0,0,-0.75,0.0,Hashtag,Beverage,Canada,8.589969
Bean Soup,soda,last 3 month,0.0,-1.030303,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
Bean Soup,soda,last 6 month,0.0,-1.030303,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
#fevertree,tonic,last 6 month,0.0,-1.0423371,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
@CAEAirport,tonic,last 3 month,0.0,-0.9807914,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
@DoubleDutchMix,tonic,last 6 month,0.8832,88.32,0,-0.75,0.0,Hashtag,Beverage,Canada,8.589969
@ReisePferdich,tonic,last 3 month,0.0,-1.019976,3,3.0,0.0,Hashtag,Beverage,Canada,7.6868787
Fever Tree,tonic,last 3 month,0.0,-1.0423371,2,2.0,0.0,Brand,Beverage,Canada,8.834928
Large,tonic,last 6 month,0.0,0.0,0,-0.6666667,0.0,Ingredient,Beverage,Canada,8.834928
Rosemary,tonic,last 6 month,0.0,-1.0423371,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
Tonic,tonic,last 3 month,-0.19472,0.87564766,9,-0.2857143,0.0,Ingredient,Beverage,Canada,8.589969
Tonic Water,tonic,last 6 month,0.5859,-2.3009024,4,0.6666667,0.0,Ingredient,Beverage,Canada,
#food,ginger ale,last year,0.0,-0.9838788,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
#jazz,ginger ale,last year,0.5067,50.67,0,-0.6666667,0.0,Hashtag,Beverage,Canada,8.834928
@8gband,ginger ale,last year,0.5067,50.67,0,-0.6666667,0.0,Hashtag,Beverage,Canada,8.834928
