Topic,Topic2,Category2,Frequency_2018-01,Frequency_2018-02,Frequency_2018-03,Frequency_2018-04,Frequency_2018-05,Frequency_2018-06,Frequency_2018-07,Frequency_2018-08,Frequency_2018-09,Frequency_2018-10,Frequency_2018-11,Frequency_2018-12,Frequency_2019-01,Frequency_2019-02,Frequency_2019-03,Frequency_2019-04,Frequency_2019-05,Frequency_2019-06,Frequency_2019-07,Frequency_2019-09,Frequency_2019-10,Frequency_2019-11,Frequency_2019-12,Frequency_2020-01,Frequency_2020-02,Frequency_2020-03,Frequency_2020-04,Frequency_2020-05,Frequency_2020-06,Category1,Frequency_2019-08,Frequency_2020-07,Frequency_2020-08,Frequency_2020-09
@GinFoundry,Cinnamon,tonic,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beverage,0,0,0,0
#tiqaportland,Tonic Water,tonic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beverage,0,0,0,0
#RealColumbiaSC,@CAEAirport,tonic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beverage,0,0,0,0
Soda,Know,ginger ale,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beverage,0,0,0,0
#TalkAt9,#RapeSurvivors,tonic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Beverage,0,0,0,0
My Favorite,Soda Water,soda,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beverage,0,0,0,0
#minigolf,#wine,ginger ale,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beverage,0,0,0,0
#Soda,#Pregnancy,soda,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beverage,0,0,0,0
Gin,Feet,tonic,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beverage,0,0,0,0
#icecream,Coffee,tonic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Beverage,0,2,0,0
